ID;Nome;SKU;Categoria;Preço;"Preço Promocional";Custo;"Quantidade Estoque";"Estoque Mínimo";Unidade;"Descrição Curta";Tags;Ativo;Destaque;"Data Criação"
93;"Coletor de Água Papacopo – Nobre";3-093;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
119;"Colher Descartável Refeição Branca 500 Unidades – Strawplast";4-121;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:29"
118;"Colher Descartável Sobremesa 50 Unidades – Strawplast";4-119;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:29"
126;"Cone de Trânsito Flexível";5-128;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:30"
160;"Conjunto Flat Mop – Nobre";6-163;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:36"
159;"Conjunto Flat Mop Slim – Nobre";6-162;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:36"
115;"Copo Descartável 180ml PS Transparente 2500 Unidades – Copomais";4-115;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:29"
114;"Copo Descartável 200ml PP Transparente 2500 Unidades – Copobras";4-114;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:29"
113;"Copo Descartável 200ml PS Transparente 2500 Unidades – Copomais";4-113;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:29"
112;"Copo Descartável 200ml PS Transparente 2500 Unidades – CopoRio";4-112;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:29"
111;"Copo Descartável 200ml Transparente 2500 Unidades – Cristalcopo";4-111;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:29"
110;"Copo Descartável 250ml PS Transparente 2000 Unidades – Cristalcopo";4-110;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:29"
109;"Copo Descartável 300ml PS Transparente 2000 Unidades – Copomais";4-109;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:29"
108;"Copo Descartável 300ml PS Transparente 2000 Unidades – Cristalcopo";4-108;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:28"
117;"Copo Descartável 50ml PS Transparente 5000 Unidades – Copomais";4-117;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:29"
116;"Copo Descartável 80ml PS Transparente 2500 Unidades – Cristalcopo";4-116;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:29"
272;"Desinfetante Concentrado Floral DEXMAX 5lts – Cordex";10-276;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
284;"Desinfetante Concentrado Floral Gold 5lts- AUDAX";10-288;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:51"
271;"Desinfetante Concentrado Lavanda DEXMAX 5lts – Cordex";10-275;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
283;"Desinfetante Concentrado Lavanda Gold 5lts- AUDAX";10-287;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:51"
282;"Desinfetante Concentrado Talco Gold 5lts- AUDAX";10-286;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:51"
277;"Desinfetante Eucalipto 5lts – Briosol";10-281;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
270;"Desinfetante Eucalipto 5lts – Cordex";10-274;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
260;"Desinfetante Eucalipto 5lts – Stork";10-264;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:47"
264;"Desinfetante Eucalipto 5lts – TOPBEL";10-268;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:48"
276;"Desinfetante Floral 5lts – Briosol";10-280;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
269;"Desinfetante Floral 5lts – Cordex";10-273;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:48"
268;"Desinfetante Floral 5lts – Facilita Audax";10-272;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:48"
257;"Desinfetante Floral 5lts – Stork";10-261;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
263;"Desinfetante Floral 5lts – TOPBEL";10-267;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:48"
267;"Desinfetante Jasmim 5lts – Cordex";10-271;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:48"
275;"Desinfetante Lavanda 5lts – Briosol";10-279;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
266;"Desinfetante Lavanda 5lts – Cordex";10-270;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:48"
262;"Desinfetante Lavanda 5lts – TOPBEL";10-266;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:47"
281;"Desinfetante Lavanda 5lts Butterfly – AUDAX";10-285;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
256;"Desinfetante Lavanda 5lts- Stork";10-260;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:46"
259;"Desinfetante Oceânico 5lts – Stork";10-263;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:47"
280;"Desinfetante Original 1Lts – Lysoform";10-284;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
279;"Desinfetante Original 5Lts – Lysoform";10-283;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
258;"Desinfetante Pinho 5lts – Stork";10-262;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:47"
261;"Desinfetante Pinho 5lts – TOPBEL";10-265;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:47"
274;"Desinfetante Pinho Fresh 5lts – Briosol";10-278;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
265;"Desinfetante Pinho Fresh 5Lts. Facilita Audax";10-269;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:48"
278;"Desinfetante Premium Lavanda 5lts – Liex";10-282;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
273;"Desinfetante Talco 5lts – Briosol";10-277;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:49"
186;"Detergente Gel Pinho 5lts TOPBEL";7-189;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:38"
92;"Dispenser Água 200ml Multicopo – Nobre";3-092;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
90;"Dispenser Alavanca Papel Toalha – Nobre";3-090;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
89;"Dispenser Auto Corte Papel Toalha – Nobre";3-089;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
91;"Dispenser Copo 50ml Multicopo – Nobre";3-091;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
88;"Dispenser Papel Higiênico – Nobre City";3-088;;0,00;;;0;5;;;;Sim;Não;"2026-06-18 04:06:27"
